word,count
雙腳,2
白雪,2
流理台,1
認識,2
減跟著,2
聲音,11
良母,2
個夠,8
咖啡杯,6
我家,3
目送,2
青絲,2
愛竟,2
慣,7
右手,16
子,3
懂得,13
脾氣,2
合奏,4
小船,2
萬盞,2
異國,4
毛,2
加油,3
機會,6
綁票,11
半頂,4
星空,4
緩緩,2
章節,1
去秋,3
容顏變,1
成半開,2
點破,3
應該,14
眼淚,47
僅扣,3
甘願,6
日夜,4
如絲般,3
額度,2
從頭,10
籬下,4
燒完,2
某個,5
咽喉,2
重量,2
擴散,2
幾,6
強盜,5
會,68
嬉戲,2
荊棘,3
薄,5
血逆著,2
不癢,4
試著躍過,2
還擁,2
基因,2
知多少,8
神化,2
煩煩,2
垂憐,2
火焰,6
愛誰無所謂,2
有過,12
不發,3
茶去,2
奮鬥成,2
不怕,14
艷紅,2
伊甸,2
疤,6
大,21
趁早,12
手把,4
裡旋,3
切成,2
偷看,8
成熟,5
斑駁,3
泅潛過,3
井青蝶,1
形成,2
踟,5
膚淺,2
剩愛只,2
舉杯,10
聲響,4
遼闊,15
慶祝,10
帶後制,1
原點,11
浪漫派,1
小芬,3
追千,1
卻問,2
腦海,3
大腿,2
一念,2
遍,2
里,4
不應,4
沙灘,2
走來,3
越緊,4
歌唱,27
甜美,15
灼傷,2
扶梯,4
活是,3
沒法,4
喜怒,4
魚已經,2
不趕,6
心越,2
如何,10
竟然,13
大成,3
琴聲,12
疼痛,2
糖份,2
話,35
殆盡,3
失控,17
我願,4
維尼,1
提醒,9
火車,4
以後畫,2
蜂,2
說學,7
幹愛情,4
到底,15
一下,2
水上,2
衝在,2
扎入,4
入口,10
艾緹雅,1
綑,1
出水,2
穿梭,7
要求,6
一世,4
吟唱,5
思考,9
義總有,2
集體,2
知己,6
真的,12
依,4
乾燥,4
那張,9
錄下,3
小敏,1
吠,3
那,120
塞住,2
晴空,6
出草,2
座,12
感傷,2
口袋,5
之後全,2
泉水,8
單純長,3
一串,2
一尊,4
天下,2
天上,18
歷經,4
蟬想,2
眺望,9
小星星,11
而生,3
白有,2
某夜,5
哀樂,4
經覺,1
牛眠,2
門擁,5
多夢境,2
拿掉,2
昏眩,7
緊擁,2
萬里,4
夜裡,2
叫住,3
雨滴,3
成白,2
心泛,4
水能,6
傷這樣,4
日常,4
輕撫,2
紟,1
邊充,4
鐘我,4
曲上,4
很久以前,4
愛已,2
尊敬,4
裡的,3
遊樂繽紛,1
給,12
不再,24
牛彈,2
往日,2
失落,8
夜蹄,8
結果,21
背叛,27
深,2
比起,3
意義落,2
揉碎,4
當,5
飄然,1
住井青,1
讀書,2
主題,2
忽,18
如潮,4
炙,2
記號,4
夾岸,7
臉色,2
衣和帽,2
殺人,2
連頭,3
烤焦,5
不公,4
苦,5
變,14
霍,13
槳,4
山,2
鐵軌,2
重傷,6
要夢想,2
自以,2
消逝,2
懷抱,11
編進冊,2
抱歉,5
一些,62
王國過,4
單純,2
最熟,5
罌粟,1
柔軟,3
垢,6
經典,2
混亂,8
有風,6
天,28
一身,19
蔚宇,3
結束,6
喜悅口,6
千萬別,2
情侶,4
鼎盛,2
千日,2
墮落,6
如秋,3
理性,5
災禍,2
左邊,8
外濟,2
麼,5
聽見,3
小聰明,2
做伙,1
舞蹈,4
蘇醒,1
羞羞,2
裡找,10
夢中,3
過客,8
廣大,10
優點,4
想法,5
還沒有,3
邊一個,4
面海,1
悠遊羨,4
溺死,5
成雪,2
想安穩,4
當是,3
公正,3
蜻蜓,11
衝破,6
這裡爛,6
思想,8
地快,2
黑裙,4
不作美,2
過後總會,3
成雙,3
光年,3
子夜,4
想賴,6
大門寧靜,2
時間過,2
吞下,2
一件,1
迷惑,2
方向,9
兩點,2
沈睡,6
海在,1
漂亮,14
家眾,2
迷惘,10
飄過,4
快樂,39
危樓,2
跳舞,12
失敗,3
縮小,4
擁有,18
莉子,3
開,25
訊,8
來怕,2
沙皇,2
還要,6
留,8
當憂鬱,2
無法算計,2
令人,6
哪吒,3
然,5
搖,5
幻沫,2
沈淪,4
寂寞,60
不及,6
零距離,4
七捕,2
還看,7
透過,6
踩爛,3
平庸,2
收錄,2
稀薄,12
相反,3
館,5
背裡,4
仰頭然,2
人影,4
回航,6
搖曳,8
蹟,4
無風雨,4
挾持,4
綻,7
刺,2
自一,2
雲彩,2
磁場,6
擁,9
時,19
善若,2
天使,21
出細菌,3
研究,2
身上,21
光溜溜,2
滾紅塵,2
些,4
過,16
結,2
開花,3
心動魄,3
翻湧,3
頂上,2
龐快,4
前途,2
出賣,4
如煙,4
索去,3
舞共患,2
王冠,5
問題,8
逍,3
掐,8
白晝,11
聲華麗得,2
